uid,population,distance,radiusPopulation
M20390,44364,1826.7496026950143,299110723
M20391,2808,1918.2089889545073,314040921
M20392,6663,1868.0499218080276,305600846
M20393,3455,1861.0196074425007,304911135
M20394,2660,1799.9958761323398,292420719
M20395,2531,1779.015964015399,282199838
M20396,3329,1719.6944832271467,264241590
M20397,29026,1837.0970877223663,301223334
M20398,5597,1871.6862420062916,306511334
M20399,15749,1825.1662365802895,299008344
M20400,1562,1771.964650495819,279030689
M20401,18120,1958.4696317523903,319845101
M20402,1016,1944.7150073932848,318359815
M20403,1658,1837.556837150585,301274495
M20404,808,1796.6029412091732,288962491
M20405,1711,1801.9331798473872,293440120
M20406,21436,1706.7578574384218,260464081
M20407,7106,1793.7626332260354,288309235
M20408,414,1825.6633147687498,299046611
M20409,7272,1826.5841145800975,299097110
M20410,3369,1887.9775871208376,310792223
M20411,759,1830.5350278273588,300112147
M20412,3021,1826.3275182471082,299047025
M20413,28327,1947.9753657325332,318625709
M20414,10118,1946.9235673319954,318464949
M20415,4910,1915.9253061233335,313093159
M20416,594,1758.9321266592021,274004265
M20417,9783,1727.2520513252484,265976223
M20418,10491,1860.6320399236524,304900644
M20419,598,1789.8397537269882,287882115
M20420,1070,1872.4362689606153,306547439
M20421,4041,1863.7056676675888,305412827
M20422,770,1783.9095516490186,285270128
M20423,606,1815.9430939698295,297420145
M20424,4156,1917.407359643485,313173613
M20425,2081,1753.362508590673,272202262
M20426,6914,1834.6370222709002,300542623
M20427,13648,1811.9640349321676,296799842
M20428,1506,1893.1923321690385,311416228
M20429,1675,1889.321834727987,311178384
M20430,272,1840.8194813702173,301976292
M20431,1831,1742.4079722900156,270006670
M20432,958,1777.2868868103894,282073452
M20433,2622,1937.936472313498,317464008
M20434,4843,1718.6028562804036,264151207
M20435,2752,1814.6035902349793,297233545
M20436,1204,1769.5106994945977,276296245
M20437,8406,1805.5321334367773,295183435
M20438,1562,1733.752610259122,267184718
M20439,20228,1963.5609949363118,320225909
M20440,1016,1847.5843069018447,303432828
M20441,5698,1860.1303539507728,304826097
M20442,378,1795.3104664863852,288358500
M20443,460,1800.6071829370578,292457269
M20444,469,1872.4035123371348,306546970
M20445,1223,1847.3115512165145,303431605
M20446,6565,1866.6557485586638,305469058
