uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
02013,green,0.722486792265,blue,0.0,blue,0.0
02016,green,0.360950560964,blue,0.0,blue,0.0
02020,green,0.556018108507,blue,0.0,blue,0.583258527694
02050,green,0.596145615224,blue,0.0,blue,0.0
02060,green,0.580277759562,blue,0.0,blue,0.0
02068,green,0.295839228453,blue,0.0,blue,0.0
02070,green,0.516135727184,blue,0.0,blue,0.0
02090,green,0.562439447092,blue,0.0,blue,0.655211503506
02100,green,0.395887064169,blue,0.0,blue,0.0969981370225
02110,green,0.688936668068,blue,0.0,blue,0.640179250203
02122,green,0.377460128106,blue,0.0,blue,0.644441673053
02130,green,0.62699497809,blue,0.0,blue,0.688495888573
02150,green,0.57995415286,blue,0.0,blue,0.0969981370225
02164,green,0.481796159199,blue,0.0,blue,0.0
02170,green,0.15921759173,blue,0.0,blue,0.637447763392
02180,green,0.592699743418,blue,0.0,blue,0.0
02185,green,0.632134028894,blue,0.0,blue,0.0
02188,green,0.716623912968,blue,0.0,blue,0.0
02201,green,0.472165742614,blue,0.0,blue,0.207333859683
02220,green,0.534007814612,blue,0.0,blue,0.322220836527
02232,green,0.324008580615,blue,0.0,blue,0.250736546843
02240,green,0.382835093221,blue,0.0,blue,0.0969981370225
02261,green,0.474151104297,green,0.15373840982,blue,0.0969981370225
02270,green,0.53176347063,blue,0.0,blue,0.0
02280,green,0.517687583625,blue,0.0,blue,0.272308197401
02282,green,0.399730816534,blue,0.0,blue,0.0
02290,green,0.368423437291,blue,0.0,blue,0.0
04001,green,0.212445358949,blue,0.290994411067,green,0.419218973549
04003,green,0.525887762319,blue,0.326587218935,blue,0.0
04005,green,0.354156180846,blue,0.272308197401,blue,0.0
04007,green,0.293687922339,blue,0.225222699504,blue,0.0
04009,green,0.214899662286,blue,0.489296831985,blue,0.0
04011,green,0.387240861065,blue,0.0,blue,0.0
04012,green,0.277294717918,blue,0.0969981370225,blue,0.0
04013,green,0.603549720015,blue,0.475386282311,green,0.192530933627
04015,green,0.193319368569,blue,0.0700778584357,blue,0.0
04017,green,0.324722552104,blue,0.250736546843,blue,0.0
