uid,usModel,usData,mexicoModel,mexicoData,canadaModel,canadaData
U12087,1789,1759,1,33,0,10
U12089,12243,12291,1,0,0,0
U12091,6937,6991,2,0,1,0
U12093,3347,3356,0,0,0,0
U12095,61864,62098,116,20,27,56
U12097,39218,39361,15,0,3,0
U12099,52892,53229,214,32,26,21
U12101,59758,59972,50,4,9,0
U12103,57670,57997,154,13,22,14
U12105,31406,31598,38,0,7,0
U12107,8380,8420,1,0,0,0
U12109,23333,23398,4,24,2,0
U12111,26070,26181,13,0,2,18
U12113,28449,28529,7,5,1,6
U12115,18860,18961,23,27,2,19
U12117,90907,91159,65,0,17,11
U12119,6710,6733,1,0,0,0
U12121,4651,4672,0,0,0,0
U12123,883,895,0,0,0,0
U12125,2112,2120,0,0,0,0
U12127,35778,35920,28,0,8,52
U12129,6394,6417,0,0,0,0
U12131,5863,5890,0,0,0,0
U12133,3636,3657,0,0,0,0
U13001,2126,2144,0,0,0,0
U13003,1344,1350,0,0,0,0
U13005,1333,1343,0,0,0,0
U13007,1004,1011,0,0,0,0
U13009,3460,3485,0,0,0,0
U13011,5187,5207,0,0,0,0
U13013,14809,14865,1,0,0,0
U13015,15179,15248,1,0,1,0
U13017,1531,1543,0,0,0,0
U13019,3227,3241,0,0,0,0
U13021,9019,9077,2,0,1,0
U13023,2108,2116,0,0,0,0
U13025,4289,4307,0,0,0,0
U13027,3463,3483,0,0,0,0
U13029,8161,8192,0,0,0,0
U13031,5425,5457,0,0,0,0
U13033,3404,3422,0,0,0,0
U13035,4372,4391,0,0,0,0
U13037,1027,1031,0,0,0,0
U13039,4615,4638,0,0,0,0
U13043,1444,1455,0,0,0,0
U13045,15040,15119,2,0,1,0
U13047,19472,19535,1,0,1,8
U13049,1766,1773,0,0,0,0
U13051,6187,6247,2,0,1,0
U13053,3016,3025,0,0,0,0
U13055,3772,3789,0,0,0,0
U13057,47625,47771,8,0,5,6
U13059,9114,9176,1,0,1,0
U13061,614,620,0,0,0,0
U13063,69381,69546,20,0,11,0
U13065,496,500,0,0,0,0
U13067,145115,145314,106,19,59,54
U13069,1891,1904,0,0,0,0
U13071,4067,4090,0,0,0,0
U13073,29150,29245,3,0,2,0
U13075,2644,2661,0,0,0,0
U13077,22670,22757,2,0,1,0
U13079,4380,4391,0,0,0,0
U13081,1767,1782,0,0,0,0
U13083,4602,4620,0,0,0,0
U13085,5266,5284,0,0,0,0
U13087,2429,2449,0,0,0,0
U13089,190559,190783,152,66,85,68
U13091,2530,2546,0,0,0,0
U13093,1751,1759,0,0,0,2
U13095,3628,3658,0,0,0,0
U13097,29140,29252,3,0,2,0
U13099,1425,1439,0,0,0,0
U13101,1408,1412,0,0,0,0
U13103,11435,11483,1,0,0,0
U13105,2328,2338,0,0,0,0
U13107,2308,2327,0,0,0,0
U13109,1385,1393,0,0,0,0
U13111,3254,3258,0,0,0,10
U13113,28118,28217,3,0,2,0
U13115,7124,7179,1,3,0,0
U13117,30057,30170,4,0,2,0
U13119,4063,4078,0,0,0,0
U13121,118866,119111,117,3,64,48
U13123,3869,3884,0,5,0,0
U13125,787,792,0,0,0,0
U13127,1970,1991,0,0,0,0
U13129,6782,6820,0,0,0,0
U13131,4313,4334,0,0,0,0
U13133,1734,1743,0,0,0,0
U13135,140387,140648,99,10,58,9
U13137,5146,5174,0,0,0,0
U13139,18590,18676,3,17,2,0
U13141,1830,1839,0,0,0,0
U13143,5989,6011,0,0,0,0
U13145,8907,8937,0,0,0,0
U13147,3474,3491,0,0,0,0
U13149,3068,3075,0,0,0,0
U13151,41475,41602,6,0,3,0
U13153,13009,13072,2,0,1,0
U13155,2259,2277,0,0,0,0
U13157,11126,11172,1,0,0,0
U13159,3202,3213,0,0,0,0
U13161,1450,1458,0,0,0,0
U13163,1981,1999,0,0,0,0
U13165,1136,1144,0,0,0,0
U13167,1634,1645,0,0,0,0
U13169,8040,8068,0,0,0,0
U13171,4508,4527,0,0,0,0
U13173,1931,1938,0,0,0,0
U13175,2912,2940,0,0,0,0
U13177,9723,9758,0,0,0,0
U13179,5390,5423,0,0,0,0
U13181,1966,1974,0,0,0,0
U13183,3760,3772,0,0,0,0
U13185,3474,3506,0,0,0,0
U13187,4901,4912,0,8,0,0
U13189,3417,3430,0,0,0,0
U13191,2279,2289,0,0,0,0
U13193,1949,1955,0,0,0,0
U13195,8794,8825,0,0,0,0
U13197,1569,1579,0,0,0,0
U13199,4759,4779,0,0,0,0
U13201,1298,1306,0,0,0,0
U13205,3140,3163,0,0,0,0
U13207,6168,6195,0,0,0,0
U13209,2363,2374,0,0,0,0
U13211,2698,2708,0,0,0,0
U13213,9474,9505,0,0,0,0
U13215,10940,11029,3,0,1,0
U13217,16934,17005,1,0,1,0
U13219,9238,9267,0,0,0,0
U13221,4619,4633,0,0,0,0
U13223,30630,30736,3,0,2,0
U13225,5571,5594,0,0,0,0
U13227,5776,5795,0,3,0,0
U13229,3848,3860,0,0,0,0
U13231,4626,4644,0,0,0,0
U13233,6938,6970,0,0,0,0
U13235,1644,1653,0,0,0,0
U13237,3556,3576,0,0,0,0
U13239,685,689,0,0,0,0
U13241,1154,1159,0,0,0,0
U13243,827,836,0,0,0,0
U13245,16985,17077,4,0,2,0
U13247,18448,18496,2,0,1,31
U13249,929,937,0,0,0,0
U13251,2268,2283,0,0,0,0
