uid,population,commuters,ratio
09013,136364,44604,0.327095127746
09015,109091,23207,0.212730656058
10001,126697,12308,0.0971451573439
10003,500265,35282,0.0705266208909
10005,156638,16045,0.102433636793
11001,572059,69921,0.122226903169
12001,217955,6938,0.0318322589525
12003,22259,4711,0.211644727975
12005,148217,3243,0.0218800812322
12007,26088,4811,0.184414290095
12009,476230,15767,0.03310795204
12011,1623018,176506,0.10875172056
12013,13017,1948,0.149650457095
12015,141627,12846,0.0907030439111
12017,118085,8439,0.0714654697887
12019,140814,40775,0.289566378343
12021,251377,7889,0.0313831416558
12023,56513,5751,0.101764195849
12027,32209,3363,0.104411810364
12029,13827,1683,0.121718377088
12031,778879,23964,0.0307672950484
12033,294410,13107,0.0445195475697
12035,49832,6998,0.140431851019
12037,11057,451,0.0407886406801
12039,45087,9051,0.200745225897
12041,14437,3397,0.235298192145
12043,10576,1941,0.183528744327
12045,13332,1476,0.110711071107
12047,13327,1706,0.128010805132
12049,26938,2985,0.110810008167
12051,36210,4397,0.121430544049
12053,130802,14366,0.109830124922
12055,87366,3076,0.0352082045647
12057,998948,50653,0.0507063430729
12059,18564,3626,0.19532428356
12061,112947,5683,0.0503156347667
12063,46755,4320,0.0923965351299
12065,12902,3094,0.239807781739
12067,7022,908,0.12930788949
12069,210528,29612,0.140655874753
12071,440888,20472,0.046433561358
12073,239452,5929,0.0247607036066
12075,34450,5876,0.170566037736
12077,7021,1221,0.173906850876
12079,18733,2005,0.107030374206
12081,264002,28797,0.109078719101
12083,258916,13225,0.0510783420105
12085,126731,16014,0.126362137125
12086,2253362,74145,0.0329041671955
12087,79589,1802,0.0226413197804
12089,57663,12291,0.213152281359
12091,170498,6991,0.0410034135298
12093,35910,3356,0.0934558618769
12095,896344,62174,0.0693639941808
12097,172493,39361,0.228188969987
12099,1131184,53282,0.0471028585977
12101,344765,59976,0.173961974098
12103,921482,58024,0.0629681317703
12105,483924,31598,0.06529537696
12107,70423,8420,0.119563210883
12109,123135,23422,0.190213992772
12111,192695,26199,0.135960974597
12113,117743,28540,0.242392329056
12115,325957,19007,0.0583113723589
12117,365196,91170,0.249646765025
12119,53345,6733,0.126216140219
12121,34844,4672,0.1340833429
12123,19256,895,0.0464790195264
12125,13442,2120,0.1577146258
12127,443343,35972,0.0811380804479
12129,22863,6417,0.280671827844
12131,40601,5890,0.145070318465
12133,20973,3657,0.174367043341
13001,17419,2144,0.123083988748
13003,7609,1350,0.17742147457
13005,10103,1343,0.13293081263
13007,4074,1011,0.248159057437
13009,44700,3485,0.0779642058166
13011,14422,5207,0.36104562474
13013,46144,14865,0.322143723994
13015,76019,15248,0.200581433589
13017,17484,1543,0.0882521162205
13019,16235,3241,0.199630428087
13021,153887,9077,0.0589848395251
13023,11666,2116,0.181381793245
13025,14629,4307,0.29441520268
13027,16450,3483,0.211732522796
13029,23417,8192,0.349831319127
13031,55983,5457,0.0974760195059
13033,22243,3422,0.153846153846
13035,19522,4391,0.224925724823
13037,6320,1031,0.163132911392
13039,43664,4638,0.106220227189
13043,9577,1455,0.15192649055
13045,87268,15119,0.173247925929
13047,53282,19543,0.366784279869
13049,10282,1773,0.172437269014
13051,232048,6247,0.0269211542439
13053,14882,3025,0.203265690095
13055,25470,3789,0.148763250883
13057,141903,47777,0.336687737398
13059,101489,9176,0.09041373942
13061,3357,620,0.184688710158
13063,236517,69546,0.294042288715
13065,6878,500,0.0726955510323
13067,607751,145387,0.239221325839
13069,37413,1904,0.0508914013845
13071,42053,4090,0.0972582217678
13073,89288,29245,0.327535615088
13075,15771,2661,0.168727411071
13077,89215,22757,0.255080423696
13079,12495,4391,0.351420568227
13081,21996,1782,0.0810147299509
13083,15154,4620,0.30487000132
13085,15999,5284,0.330270641915
13087,28240,2449,0.0867209631728
13089,665865,190917,0.286720281138
13091,19171,2546,0.132804757185
13093,11525,1761,0.152798264642
13095,96065,3658,0.0380783844272
13097,92174,29252,0.317356304381
13099,12354,1439,0.116480492148
13101,3754,1412,0.376132125733
13103,37535,11483,0.305927800719
13105,20511,2338,0.113987616401
13107,21837,2327,0.10656225672
13109,10495,1393,0.132729871367
13111,19798,3268,0.165067178503
13113,91263,28217,0.309183349221
13115,90565,7182,0.0793021586706
13117,98407,30170,0.306583881228
13119,20285,4078,0.20103524772
13121,816006,119162,0.146030788989
13123,23456,3889,0.165799795362
