source,dest,data,model
06087,Mexico,0,26
06089,Canada,3,1
06089,Mexico,6,0
06091,Canada,0,0
06091,Mexico,0,0
06093,Canada,2,0
06093,Mexico,0,0
06095,Canada,7,48
06095,Mexico,0,118
06097,Canada,42,32
06097,Mexico,15,62
06099,Canada,7,22
06099,Mexico,0,58
06101,Canada,5,1
06101,Mexico,0,1
06103,Canada,0,0
06103,Mexico,0,0
06105,Canada,0,0
06105,Mexico,0,0
06107,Canada,0,4
06107,Mexico,0,19
06109,Canada,0,0
06109,Mexico,0,0
06111,Canada,0,64
06111,Mexico,29,586
06113,Canada,0,4
06113,Mexico,25,7
06115,Canada,0,0
06115,Mexico,0,0
08001,Canada,0,30
08001,Mexico,11,148
08003,Canada,0,0
08003,Mexico,0,0
08005,Canada,42,47
08005,Mexico,8,272
08007,Canada,0,0
08007,Mexico,0,0
08009,Canada,0,0
08009,Mexico,0,0
08011,Canada,0,0
08011,Mexico,0,0
08013,Canada,0,5
08013,Mexico,15,36
08015,Canada,0,0
08015,Mexico,0,0
08017,Canada,0,0
08017,Mexico,0,0
08019,Canada,0,0
08019,Mexico,0,0
08021,Canada,0,0
08021,Mexico,0,0
08023,Canada,0,0
08023,Mexico,0,0
08025,Canada,0,0
08025,Mexico,0,0
08027,Canada,0,0
08027,Mexico,0,0
08029,Canada,0,0
08029,Mexico,0,0
08031,Canada,9,46
08031,Mexico,46,263
08033,Canada,0,0
08033,Mexico,0,0
08035,Canada,13,4
08035,Mexico,22,55
08037,Canada,0,0
08037,Mexico,19,0
08039,Canada,0,0
08039,Mexico,0,0
08041,Canada,7,0
08041,Mexico,0,30
08043,Canada,0,0
08043,Mexico,0,1
08045,Canada,0,0
08045,Mexico,0,1
08047,Canada,0,0
08047,Mexico,0,0
08049,Canada,0,0
08049,Mexico,0,0
08051,Canada,0,0
08051,Mexico,0,0
08053,Canada,0,0
08053,Mexico,0,0
08055,Canada,0,0
08055,Mexico,0,0
08057,Canada,0,0
08057,Mexico,0,0
08059,Canada,10,66
08059,Mexico,12,446
08061,Canada,0,0
08061,Mexico,0,0
08063,Canada,0,0
08063,Mexico,0,0
08065,Canada,0,0
08065,Mexico,0,0
08067,Canada,0,0
08067,Mexico,0,0
08069,Canada,0,3
08069,Mexico,22,13
08071,Canada,0,0
08071,Mexico,0,0
08073,Canada,0,0
08073,Mexico,0,0
08075,Canada,0,0
08075,Mexico,0,0
08077,Canada,0,0
08077,Mexico,0,1
08079,Canada,0,0
08079,Mexico,0,0
08081,Canada,0,0
08081,Mexico,0,0
08083,Canada,4,0
08083,Mexico,0,0
08085,Canada,0,0
08085,Mexico,0,0
08087,Canada,0,0
08087,Mexico,0,0
08089,Canada,0,0
08089,Mexico,0,0
08091,Canada,0,0
08091,Mexico,0,0
08093,Canada,0,0
08093,Mexico,0,0
08095,Canada,0,0
08095,Mexico,0,0
08097,Canada,0,0
08097,Mexico,0,0
08099,Canada,0,0
08099,Mexico,0,0
08101,Canada,0,0
08101,Mexico,0,4
08103,Canada,0,0
08103,Mexico,0,0
08105,Canada,0,0
08105,Mexico,0,0
08107,Canada,0,0
08107,Mexico,0,0
08109,Canada,0,0
08109,Mexico,3,0
08111,Canada,0,0
08111,Mexico,0,0
08113,Canada,0,0
08113,Mexico,0,0
08115,Canada,0,0
08115,Mexico,0,0
08117,Canada,2,0
08117,Mexico,0,0
08119,Canada,0,0
08119,Mexico,0,0
08121,Canada,0,0
08121,Mexico,0,0
08123,Canada,3,3
08123,Mexico,0,11
08125,Canada,0,0
08125,Mexico,0,0
09001,Canada,36,274
09001,Mexico,6,26
09003,Canada,7,202
09003,Mexico,19,9
09005,Canada,12,21
09005,Mexico,0,0
09007,Canada,17,14
09007,Mexico,0,0
09009,Canada,10,316
09009,Mexico,0,30
09011,Canada,6,14
09011,Mexico,0,0
09013,Canada,21,18
09013,Mexico,0,0
09015,Canada,0,4
09015,Mexico,0,0
10001,Canada,15,1
10001,Mexico,0,0
10003,Canada,0,32
10003,Mexico,7,0
10005,Canada,0,1
10005,Mexico,0,0
11001,Canada,7,71
11001,Mexico,0,8
12001,Canada,0,0
12001,Mexico,0,0
12003,Canada,14,0
12003,Mexico,0,0
12005,Canada,0,0
12005,Mexico,0,0
12007,Canada,0,0
12007,Mexico,0,0
12009,Canada,9,1
12009,Mexico,7,2
12011,Canada,44,88
