uid,usColor,usOpacity,mexicoColor,mexicoOpacity,canadaColor,canadaOpacity
U05011,darkgreen,0.0007985783919,darkorange,0.0,darkorange,0.0
U05013,darkgreen,0.000697888862861,darkorange,0.0,darkorange,0.0
U05015,darkgreen,0.00168010128915,darkorange,0.0,darkorange,0.0
U05017,darkgreen,0.00157164735129,darkorange,0.0,darkorange,0.0
U05019,darkgreen,0.00117357562399,darkorange,0.0,darkorange,0.0
U05021,darkgreen,0.000763008525081,darkorange,0.0,darkorange,0.0
U05023,darkgreen,0.000910950713184,darkorange,0.0,darkorange,0.0
U05025,darkgreen,0.000832008396585,darkorange,0.0,darkorange,0.0
U05027,darkgreen,0.00168575061872,darkorange,0.0,darkorange,0.0
U05029,darkgreen,0.00101595936416,darkorange,0.0,darkorange,0.0
U05031,darkgreen,0.00127404857544,darkorange,0.0,darkgreen,0.271831577026
U05033,darkgreen,0.000493395170934,darkgreen,0.210110282293,darkorange,0.0
U05035,darkgreen,0.000804660408729,darkorange,0.0968283614195,darkorange,0.0
U05037,darkgreen,0.00121043038946,darkorange,0.0,darkorange,0.0
U05039,darkgreen,0.00104561713358,darkorange,0.0,darkorange,0.0
U05041,darkgreen,0.000669353445657,darkorange,0.0,darkorange,0.0
U05043,darkgreen,0.00137773353444,darkorange,0.0,darkorange,0.0
U05045,darkgreen,0.000764051841845,darkorange,0.153469321856,darkorange,0.0968283614195
U05047,darkgreen,0.000617659651085,darkorange,0.0,darkorange,0.0
U05049,darkgreen,0.000937336083374,darkorange,0.0,darkorange,0.0
U05051,darkgreen,0.00108369064656,darkorange,0.0968283614195,darkorange,0.0
U05053,darkgreen,0.000732800705921,darkorange,0.0,darkorange,0.0
U05055,darkgreen,0.0014122108537,darkorange,0.0,darkorange,0.0
U05057,darkgreen,0.00103362511411,darkorange,0.0,darkorange,0.0
U05059,darkgreen,0.000659141503692,darkorange,0.0,darkorange,0.0
U05061,darkorange,0.000330636359885,darkgreen,0.347126044695,darkorange,0.0
U05063,darkgreen,0.00145853317036,darkorange,0.0,darkorange,0.0
U05065,darkgreen,0.000817881708916,darkorange,0.0,darkorange,0.0
U05067,darkgreen,0.00101904741389,darkorange,0.0,darkorange,0.0
U05069,darkgreen,0.00136859957928,darkorange,0.0968283614195,darkgreen,0.321656854181
U05071,darkgreen,0.00120886198324,darkorange,0.0,darkorange,0.0
U05073,darkgreen,0.000209593132848,darkorange,0.0,darkgreen,0.290485084258
U05075,darkgreen,0.000726845489659,darkorange,0.0,darkorange,0.0
U05077,darkgreen,0.00129619805159,darkorange,0.0,darkorange,0.0
U05079,darkgreen,0.000868288408133,darkorange,0.0,darkorange,0.0
U05081,darkgreen,0.000752392107018,darkorange,0.0,darkorange,0.0
U05083,darkgreen,0.000606857883004,darkorange,0.0,darkorange,0.0
U05085,darkgreen,0.000580132103482,darkorange,0.0968283614195,darkorange,0.0
U05087,darkgreen,0.000658490497325,darkorange,0.0,darkorange,0.0
U05089,darkgreen,0.000897201522392,darkorange,0.0,darkorange,0.0
U05091,darkgreen,0.000473202408663,darkorange,0.0968283614195,darkorange,0.0
U05093,darkgreen,0.00216944255375,darkorange,0.0,darkorange,0.0
