uid,percentPoverty,medianIncome
13301,20.3,27598
13303,20.1,30489
13305,18.6,33370
13307,17.3,28337
13309,27.2,24406
13311,11.7,36759
13313,10.3,39438
13315,23.1,27376
13317,15.9,28818
13319,15.4,33351
13321,17.5,32523
16001,7.3,48285
16003,14.6,30508
16005,12.9,37274
16007,12.0,33721
16009,13.8,33292
16011,13.2,37355
16013,6.2,52815
16015,10.8,40497
16017,13.7,33733
16019,10.5,43324
16021,15.4,32182
16023,15.2,32263
16025,7.1,35895
16027,12.7,37030
16029,9.7,40538
16031,14.6,34346
16033,14.6,34084
16035,14.3,33664
16037,11.9,33831
16039,11.5,36516
16041,10.4,37512
16043,14.2,34295
16045,12.4,35526
16047,13.0,33478
16049,14.9,30813
16051,11.5,39415
16053,13.1,36054
16055,10.6,38918
16057,13.6,34883
16059,14.5,30765
16061,13.7,33375
16063,11.3,34703
16065,15.4,33875
16067,14.0,33107
16069,11.4,37590
16071,11.2,35713
16073,17.1,29736
16075,13.6,34622
16077,14.6,34741
16079,16.8,29859
16081,9.3,41607
16083,12.2,35455
16085,10.0,38166
16087,15.2,31285
17001,11.2,36919
17003,25.2,26299
17005,11.0,38224
17007,6.5,53721
17009,14.2,35403
17011,8.1,41124
17013,9.8,36324
17015,9.6,38247
17017,10.5,36220
17019,11.7,39603
17021,10.4,37675
17023,10.6,36855
17025,12.0,32250
17027,7.2,45498
17029,13.4,33928
17031,12.3,45239
17033,11.5,34581
17035,10.7,37389
17037,8.1,47329
17039,9.5,42045
17041,7.9,41058
17043,3.8,68687
17045,11.9,36128
17047,9.9,33387
17049,8.5,41351
17051,13.4,32862
17053,8.0,39958
17055,15.5,29515
17057,11.1,34838
17059,17.6,28229
17061,12.4,32836
17063,5.3,54158
17065,13.5,31671
17067,9.8,38223
17069,16.4,29103
17071,9.8,37367
17073,7.9,41895
17075,9.3,38777
17077,19.8,27017
17079,10.8,36045
17081,14.2,34097
17083,9.1,42552
17085,7.6,41775
17087,15.0,33952
17089,5.9,59658
17091,11.4,41641
17093,3.4,67770
17095,11.9,35911
17097,5.6,66692
17099,8.9,42520
17101,12.6,32029
17103,8.3,41806
17105,9.0,42799
17107,10.5,39752
17109,15.9,33255
17111,3.4,67260
17113,8.1,49369
17115,12.7,40376
17117,10.0,37679
17119,9.8,41922
17121,13.6,35007
17123,7.6,42791
17125,10.9,37192
17127,13.6,32923
17129,8.7,48068
17131,8.3,42633
17133,4.0,57490
17135,13.2,34643
17137,11.1,37791
17139,8.1,40947
17141,7.0,46823
17143,12.4,41579
17145,13.3,33661
17147,6.0,47743
17149,13.5,32239
17151,14.7,31338
17153,22.1,26041
17155,6.6,46713
17157,11.0,37281
17159,12.7,33038
17161,10.4,39625
17163,13.3,38765
17165,16.5,29568
17167,9.5,44425
17169,9.8,36346
17171,10.3,37159
17173,9.4,38317
17175,8.6,38016
17177,9.4,41597
17179,7.0,46389
17181,14.4,32372
17183,13.1,34811
17185,11.7,35530
17187,11.0,36466
17189,6.9,42060
17191,11.9,32217
17193,12.9,31646
17195,8.3,41159
17197,5.3,62942
17199,13.6,33490
17201,10.0,44627
17203,5.2,52933
18001,9.0,42190
18003,8.2,44365
18005,7.1,46301
18007,7.3,41085
18009,9.5,36319
18011,5.3,54615
18013,7.9,46154
18015,6.8,44687
18017,8.5,39512
18019,8.2,41039
18021,9.3,38197
18023,8.3,41586
18025,13.9,33770
18027,12.4,35218
18029,6.3,50547
18031,8.1,42495
18033,5.7,46357
18035,11.9,35791
18037,4.5,46484
18039,8.3,44986
18041,9.6,39133
18043,8.0,44789
18045,8.3,39486
18047,7.3,45385
18049,8.7,39280
18051,8.0,39438
18053,11.7,36741
18055,10.0,35155
18057,3.1,76478
18059,4.4,57384
18061,7.2,44606
18063,3.9,58193
18065,8.6,39726
18067,8.8,45800
18069,6.6,43091
18071,7.8,40700
18073,6.9,45118
18075,9.8,36412
18077,10.0,38566
18079,8.6,39514
18081,5.7,53930
18083,13.9,32454
18085,6.3,45539
18087,8.0,44096
18089,11.1,41529
18091,9.5,40926
18093,8.8,37743
18095,9.3,39690
18097,10.3,41304
18099,7.5,42947
18101,10.2,37656
18103,9.1,39991
18105,11.1,35453
18107,8.4,42027
18109,7.1,49387
18111,8.0,41611
18113,6.8,43793
18115,6.7,41973
18117,12.0,32787
18119,10.5,36885
18121,11.4,36360
18123,8.8,37549
18125,8.6,36581
18127,5.7,54648
18129,6.9,46852
18131,9.5,36898
18133,8.5,40328
18135,10.3,36257
18137,7.3,43174
18139,8.1,39568
18141,10.0,40952
18143,11.6,35699
18145,7.2,44473
18147,7.1,43805
18149,11.4,37130
18151,7.1,44571
18153,12.7,33803
18155,11.4,36483
18157,10.0,40097
18159,5.9,49539
18161,9.0,37700
18163,10.6,38691
18165,9.1,36703
18167,13.1,34145
18169,7.7,41241
18171,7.3,42718
18173,5.7,51251
18175,9.9,37758
18177,10.8,36157
18179,5.9,44747
18181,7.5,41530
18183,5.3,47512
19001,8.4,37428
19003,10.9,32373
19005,9.2,35216
19007,14.2,29929
19009,9.3,33989
19011,6.0,44742
19013,10.1,37872
19015,6.8,41973
19017,5.7,42753
19019,8.9,39651
19021,9.5,36401
19023,7.4,37880
19025,9.9,34677
19027,7.4,39014
19029,10.2,34618
19031,5.8,44431
19033,8.2,37503
19035,7.7,37054
19037,7.9,39009
19039,9.8,36330
19041,7.4,38258
19043,8.4,35635
19045,9.6,38707
19047,10.1,35406
19049,5.1,51375
19051,12.7,33949
19053,15.2,28475
19055,7.8,39292
19057,10.1,38529
19059,6.7,41086
19061,7.4,41259
19063,9.3,34709
19065,10.2,33874
19067,9.8,36349
19069,7.7,37747
19071,9.8,38830
19073,9.7,35214
19075,5.3,42286
19077,8.9,38157
19079,7.2,40324
19081,6.4,39398
19083,8.3,36582
19085,8.1,39295
19087,8.5,40485
19089,8.8,36380
19091,8.0,39526
19093,8.4,36572
19095,5.6,43649
19097,9.4,36066
19099,6.3,44046
19101,11.5,35808
19103,8.8,42827
19105,8.4,38612
19107,10.6,35333
19109,9.0,36412
19111,10.7,37192
19113,6.1,48597
19115,8.4,41180
19117,11.8,32947
19119,7.5,38539
19121,6.5,43836
19123,9.4,39904
19125,6.8,45003
19127,9.6,39123
19129,7.6,42625
19131,8.4,36666
19133,10.6,34179
19135,10.5,36031
19137,10.1,34710
19139,8.7,43948
19141,7.4,37747
19143,6.8,36830
19145,11.2,36848
19147,9.1,33824
19149,6.3,43900
19151,9.0,34722
19153,7.1,48413
19155,8.7,40722
19157,8.0,39806
19159,14.0,30521
19161,9.9,34176
19163,9.5,45332
19165,7.5,38407
19167,6.2,41787
19169,8.2,42911
19171,8.4,38609
19173,12.0,32375
19175,10.1,33473
19177,12.1,32243
19179,12.2,33177
19181,5.4,51426
19183,7.3,40464
19185,14.1,30116
19187,10.4,35999
19189,7.5,39710
19191,7.4,40313
19193,9.4,39632
19195,7.0,37452
19197,7.7,37624
20001,12.7,32416
20003,12.0,34035
20005,11.3,35784
20007,11.0,33828
20009,10.9,33924
20011,13.3,31924
20013,12.4,33145
20015,7.2,48336
20017,10.9,33726
20019,14.9,29463
20021,14.0,31424
20023,11.5,31685
20025,9.9,35774
20027,9.5,35360
20029,11.6,32215
20031,8.4,37967
20033,9.7,30882
20035,11.3,35817
20037,13.3,30576
20039,11.9,31259
20041,8.1,37187
20043,11.1,34190
20045,10.1,39183
20047,11.5,32252
20049,16.5,27778
20051,8.8,34615
20053,8.8,36482
20055,10.8,39585
20057,11.3,38331
20059,8.9,39902
20061,11.0,32588
20063,9.6,35691
20065,11.0,33010
20067,9.6,41891
20069,7.8,42562
20071,9.2,37288
20073,13.0,30927
20075,12.4,34559
20077,11.5,31331
20079,7.5,42482
20081,9.8,41564
20083,8.4,38216
20085,8.5,41734
20087,6.6,46249
20089,11.4,31409
20091,3.5,66796
