uid,region,name,population,latitude,longitude,commuters
C4811,Alberta,Division No. 11,975477,53.543997,-113.489856,139493
C4812,Alberta,Division No. 12,58362,54.615319,-111.6097121,8346
C4813,Alberta,Division No. 13,63954,54.3048819,-114.0944882,9145
C4814,Alberta,Division No. 14,26871,53.5119663,-116.7743827,3843
C4815,Alberta,Division No. 15,34068,51.09,-115.35,4872
C4816,Alberta,Division No. 16,42971,58.7016529,-111.9537953,6145
C4817,Alberta,Division No. 17,57508,57.7582985,-116.6212527,8224
C4818,Alberta,Division No. 18,14346,54.7016191,-118.0739397,2051
C4819,Alberta,Division No. 19,86299,55.5133472,-118.6648009,12341
C5901,British Columbia,East Kootenay Regional District,56291,50.1284105,-115.7568033,8050
C5903,British Columbia,Central Kootenay Regional District,57019,49.8685203,-117.5237491,8154
C5905,British Columbia,Kootenay Boundary Regional District,31843,49.231302,-118.6019627,4554
C5907,British Columbia,Okanagan-Similkameen Regional District,76635,49.5173467,-120.1281752,10959
C5909,British Columbia,Fraser Valley Regional District,237550,49.583333,-121.833333,33970
C5915,British Columbia,Greater Vancouver Regional District,1986965,49.2501243,-123.0824217,284136
C5917,British Columbia,Capital Regional District,325754,48.434245,-123.9139452,46583
C5919,British Columbia,Cowichan Valley Regional District,71998,48.7569005,-124.0309983,10296
C5921,British Columbia,Nanaimo Regional District,127016,49.25,-124.333333,18163
C5923,British Columbia,Alberni-Clayoquot Regional District,30345,48.8447352,-125.6317059,4339
C5925,British Columbia,Comox-Strathcona Regional District,96131,49.6735133,-124.9282659,13747
C5927,British Columbia,Powell River Regional District,19765,50.0654245,-124.5171511,2826
C5929,British Columbia,Sunshine Coast Regional District,25599,49.7604377,-123.7643986,3661
C5931,British Columbia,Squamish-Lillooet Regional District,33011,50.5666362,-122.6978597,4721
C5933,British Columbia,Thompson-Nicola Regional District,119222,50.255031,-120.6968975,17049
C5935,British Columbia,Central Okanagan Regional District,147739,49.9473663,-119.5588209,21127
C5937,British Columbia,North Okanagan Regional District,73227,50.3398977,-118.7840936,10471
C5939,British Columbia,Columbia-Shuswap Regional District,48219,51.5199009,-118.0935141,6895
C5941,British Columbia,Cariboo Regional District,65659,52.4031805,-123.4553619,9389
C5943,British Columbia,Mount Waddington Regional District,13111,50.7443191,-128.1734903,1875
C5945,British Columbia,Central Coast Regional District,3781,51.9329295,-127.0940535,541
C5947,British Columbia,Skeena-Queen Charlotte Regional District,21693,53.1053069,-132.2846569,3102
C5949,British Columbia,Kitimat-Stikine Regional District,40876,56.5845216,-130.0464936,5845
C5951,British Columbia,Bulkley-Nechako Regional District,40856,54.8746034,-125.536522,5842
C5953,British Columbia,Fraser-Fort George Regional District,95317,53.9290771,-121.6214717,13630
C5955,British Columbia,Peace River Regional District,55080,56.4374388,-123.1681613,7876
C5957,British Columbia,Stikine Region,1316,58.461588,-130.1806,188
C5959,British Columbia,Northern Rockies Regional District,5720,58.8231929,-123.4127519,818
