uid,name,region,population,latitude,longitude
19121,Madison,IA,15679,41.330622,-94.015184
19123,Mahaska,IA,22381,41.330797,-92.636366
19125,Marion,IA,33309,41.331455,-93.093849
19127,Marshall,IA,40648,42.041691,-92.981452
19129,Mills,IA,15059,41.033703,-95.619101
19131,Mitchell,IA,10776,43.348564,-92.784466
19133,Monona,IA,9243,42.049432,-95.956566
19135,Monroe,IA,7970,41.028847,-92.869642
19137,Montgomery,IA,10740,41.021735,-95.15779
19139,Muscatine,IA,42745,41.483776,-91.118699
19141,O'Brien,IA,14398,43.083746,-95.625624
19143,Osceola,IA,6462,43.378542,-95.633788
19145,Page,IA,15932,40.73909,-95.14429
19147,Palo Alto,IA,9421,43.075854,-94.667297
19149,Plymouth,IA,24986,42.737585,-96.215864
19151,Pocahontas,IA,7310,42.734033,-94.678279
19153,Polk,IA,430640,41.684281,-93.56972
19155,Pottawattamie,IA,93158,41.340184,-95.544905
19157,Poweshiek,IA,18914,41.684526,-92.522882
19159,Ringgold,IA,5131,40.735334,-94.244251
19161,Sac,IA,10350,42.387526,-95.105224
19163,Scott,IA,165224,41.641679,-90.62229
19165,Shelby,IA,12167,41.679014,-95.308917
19167,Sioux,IA,33704,43.082854,-96.177929
19169,Story,IA,89542,42.037538,-93.466093
19171,Tama,IA,17767,42.074848,-92.529412
19173,Taylor,IA,6317,40.737949,-94.697108
19175,Union,IA,12534,41.02855,-94.245091
19177,Van Buren,IA,7570,40.754117,-91.952943
19179,Wapello,IA,35625,41.031263,-92.409482
19181,Warren,IA,46225,41.336769,-93.564366
19183,Washington,IA,21704,41.329401,-91.725052
19185,Wayne,IA,6403,40.739983,-93.332613
19187,Webster,IA,38013,42.434397,-94.179157
19189,Winnebago,IA,10866,43.378124,-93.743488
19191,Winneshiek,IA,21056,43.292989,-91.850788
19193,Woodbury,IA,102172,42.39322,-96.053296
19195,Worth,IA,7598,43.373491,-93.248533
19197,Wright,IA,13229,42.733007,-93.734735
20001,Allen,KS,13371,37.884229,-95.300945
20003,Anderson,KS,8102,38.215114,-95.292046
20005,Atchison,KS,16924,39.532544,-95.313398
20007,Barber,KS,4861,37.222906,-98.685052
20009,Barton,KS,27674,38.481239,-98.767837
20011,Bourbon,KS,15173,37.8561,-94.850928
20013,Brown,KS,9984,39.825931,-95.569905
20015,Butler,KS,65880,37.773681,-96.838762
20017,Chase,KS,2790,38.298553,-96.594064
20019,Chautauqua,KS,3669,37.154259,-96.245396
20021,Cherokee,KS,21603,37.169392,-94.845698
