source+dest,flux
0102501101,26
0102501119,10
0102501125,26
0102501127,6
0102501129,611
0102501131,600
0102505007,9
0102505011,2
0102512057,4
0102513121,2
0102521111,7
0102522033,12
0102522055,2
0102528001,8
0102528019,29
0102528121,12
0102528153,6
0102529167,1
0102539025,9
0102545091,7
0102548315,1
0102551013,5
0102701001,5
0102701015,409
0102701017,30
0102701021,10
0102701027,3841
0102701029,127
0102701037,239
0102701047,2
0102701049,10
0102701051,16
0102701055,29
0102701073,34
0102701081,23
0102701101,16
0102701111,164
0102701115,3
0102701117,6
0102701121,429
0102701123,289
0102701125,4
0102711001,8
0102712109,4
0102713045,58
0102713089,10
0102713121,13
0102713129,5
0102713199,3
0102713313,24
0102728015,4
0102734003,13
0102901003,4
0102901005,4
0102901013,8
0102901015,1065
0102901017,4
0102901019,2
0102901025,18
0102901027,44
0102901029,2416
0102901055,30
0102901069,2
0102901073,58
0102901097,5
0102901101,4
0102901111,91
0102901115,9
0102901117,6
0102901119,7
0102901121,27
0102901123,11
0102901125,9
0102901129,8
0102908099,7
0102912073,2
0102913045,1230
0102913053,10
0102913059,9
0102913063,15
0102913067,45
0102913077,36
0102913089,49
0102913097,50
0102913115,24
0102913117,9
0102913121,129
0102913123,2
0102913135,18
0102913139,10
0102913143,467
0102913149,5
0102913223,42
0102913233,45
0102913285,14
0102922033,4
0102945003,4
0102945045,2
0103101003,14
0103101005,49
0103101017,7
0103101031,12278
0103101039,591
0103101041,34
0103101045,3645
0103101061,306
0103101067,33
0103101069,859
0103101073,9
0103101097,15
0103101101,128
0103101109,640
0103112005,34
0103112059,18
0103112063,6
0103112071,11
0103112091,8
0103112099,19
0103112127,6
0103112131,4
0103113063,12
0103113067,4
0103113069,7
0103113095,7
0103113099,6
0103113121,35
0103113193,6
0103117031,7
0103118031,11
0103118097,10
0103122075,5
0103122115,11
0103129169,6
0103133011,8
0103134005,16
0103137051,10
0103137101,5
0103137119,14
0103147157,6
0103148027,10
0103148201,2
0103155079,6
0103301033,14698
0103301043,31
0103301051,9
0103301055,8
0103301059,988
0103301073,95
0103301077,4492
0103301079,421
0103301083,295
0103301087,7
0103301089,277
0103301093,32
0103301095,5
0103301097,5
0103301101,9
0103301103,496
0103301117,12
0103301121,10
0103301125,17
0103301127,6
0103301133,18
0103311001,5
0103313053,5
0103313067,11
0103313121,9
0103313153,5
0103313247,2
0103313285,8
0103317031,14
0103321111,2
0103321177,16
0103326115,12
0103328003,33
0103328071,5
0103328081,9
0103328095,9
0103328117,6
0103328139,1
0103328141,177
0103329047,6
0103329099,4
0103336029,22
0103337075,11
0103337133,11
0103339157,8
0103340097,7
0103342005,8
0103342101,9
0103344005,8
0103347037,6
0103347065,11
0103347071,17
0103347081,18
0103347085,6
0103347099,8
0103347105,9
0103347109,9
0103347113,5
0103347125,7
0103347157,56
0103347165,32
0103347181,17
0103347183,3
0103347187,8
0103348113,7
0103351059,5
0103501003,41
0103501013,96
0103501025,15
0103501035,2532
0103501039,210
0103501041,9
0103501053,558
0103501061,11
0103501069,15
0103501089,10
0103501097,21
0103501099,990
0103501101,72
0103501109,14
0103501125,9
0103501131,43
0103512031,2
0103512033,32
0103512113,15
0103513121,8
0103528047,11
0103528059,2
0103536029,21
0103542045,15
0103545079,5
0103551710,14
0103701001,6
0103701015,18
0103701021,36
0103701027,85
0103701037,1188
0103701047,5
0103701049,4
0103701051,122
0103701055,2
0103701073,128
0103701081,23
0103701083,5
0103701087,11
0103701095,10
0103701099,9
0103701101,109
0103701117,77
0103701121,1145
0103701123,1694
0103701127,17
0103713121,17
0103728035,6
0103737127,14
0103742091,8
0103755079,11
0103901001,10
0103901005,10
0103901007,7
0103901013,213
0103901015,21
0103901025,10
0103901031,520
0103901033,21
0103901035,157
0103901039,12421
0103901041,219
0103901045,124
0103901047,25
0103901049,25
0103901051,10
0103901053,57
0103901055,6
0103901061,76
0103901065,3
