source,cor,p-value
U06003,-0.119030309465,2.79698473914e-11
U06005,-0.17628935441,4.0916911625e-23
U06007,-0.0498494283851,0.00544111599765
U06009,-0.111504223623,4.56875415133e-10
U06011,-0.100353927732,2.06360505029e-08
U06013,0.414798714846,1.55304881277e-129
U06015,0.0675265071054,0.000164988928116
U06017,0.145165258382,4.19697503135e-16
U06019,0.203008811649,2.88318844923e-30
U06021,-0.00733412334806,0.682749347366
U06023,-0.0462422429245,0.00992816272362
U06025,-0.106961722719,2.26153128194e-09
U06027,-0.0858031373723,1.66458479442e-06
U06029,-0.0292189205536,0.103391181617
U06031,-0.040808861603,0.0228997104689
U06033,-0.0366677782429,0.0409463221162
U06035,-0.0984176767238,3.84396275505e-08
U06037,0.37965051729,3.99351698551e-107
U06039,0.0520012716073,0.00373356097367
U06041,0.277436227765,4.90360767878e-56
U06043,-0.151041781886,2.54580750025e-17
U06045,-0.00247514812286,0.890293508332
U06047,0.0184482724484,0.303877100997
U06049,-0.120721697506,1.45653290399e-11
U06051,-0.0378808597886,0.0347083191436
U06053,0.14335870855,9.71048248953e-16
U06055,0.0386512187575,0.0311835866938
U06057,-0.0122194317726,0.495885498573
U06059,0.395183617083,1.07680207978e-116
U06061,0.300071231681,1.08837943622e-65
U06063,-0.090825286679,3.93848080481e-07
U06065,0.341005987573,1.75715927805e-85
U06067,0.379498856028,4.92325636934e-107
U06069,-0.0282844153144,0.114905694281
U06071,0.323932658332,7.52150712979e-77
U06073,0.260361233186,2.48118935567e-49
U06075,0.417313174913,3.03368489438e-131
U06077,0.244958029628,1.06886820737e-43
U06079,0.00309763015659,0.862948485803
U06081,0.45639710958,9.16312087663e-160
U06083,-0.0174271073335,0.331431568695
U06085,0.444281179872,1.60964136599e-150
U06087,0.238734814629,1.57157034809e-41
U06089,-0.0510106079116,0.00444782937544
U06091,-0.131265139909,2.02973297079e-13
U06093,-0.14051212993,3.56371366037e-15
U06095,0.294878947777,2.138472796e-63
U06097,0.338652597154,2.93395420119e-84
U06099,0.183021505051,8.12885291653e-25
U06101,0.0222726608177,0.214479122837
U06103,-0.0322283118716,0.0724223097603
U06105,-0.14041583718,3.72223468805e-15
U06107,0.0402539239195,0.0248233623733
U06109,-0.100880302004,1.73903354036e-08
U06111,0.288492809761,1.21879612361e-60
U06113,0.120351122816,1.68168020743e-11
U06115,0.0195739037829,0.275317015982
U08001,0.634364580442,0.0
U08003,0.0784144625219,1.20575995003e-05
U08005,0.666160878921,0.0
U08007,-0.033743380326,0.059978254626
U08009,-0.00624235397595,0.727936964892
U08011,0.0306101333729,0.0879687811262
U08013,0.488808240864,2.06791261163e-186
U08015,-0.04279635669,0.0170324605532
U08017,-0.030595121798,0.0881246997053
U08019,-0.0934189155021,1.81481797643e-07
U08021,0.0851654002251,1.98787054656e-06
U08023,-0.0556425449575,0.00191442132214
U08025,-0.0744007385418,3.297463977e-05
U08027,-0.036050445054,0.0444696377065
U08029,0.0608555962532,0.000687673804691
U08031,0.649437554652,0.0
U08033,-0.0791976547231,9.85214864333e-06
U08035,0.502625910937,1.1284855254e-198
