res,work,total,male,female
2427043,2429112,30,20,0
4717067,4812002,50,15,35
1101011,1102075,30,0,20
6001043,6001043,95,40,55
1101014,1102075,45,20,25
3558041,3558044,180,75,105
1101016,1102075,40,25,15
4706013,4706027,85,35,50
4706011,4706027,285,130,150
6106021,6106023,35,15,20
4706017,4706027,90,45,50
4706016,4706027,20,0,15
4621058,4621058,65,30,40
4621057,4621064,25,20,0
4621053,4621045,80,50,30
4716028,4716029,300,145,150
5921805,5921805,25,10,10
5919051,5921007,35,10,20
4611042,4611042,125,90,30
6106049,6106049,55,25,25
4712046,4712046,720,345,370
3514014,3526011,25,10,15
1007049,1007057,55,35,15
1007048,1007048,40,25,20
1007047,1007047,320,110,210
1007044,1007044,360,180,180
1007043,1007042,30,20,15
1007042,1007042,70,25,45
1007041,1007041,30,0,25
4702039,4702039,95,20,70
5921023,5923008,125,80,40
5921020,5921034,30,10,15
4617071,4617073,75,20,45
4702031,4702031,215,100,115
4702033,4702047,80,30,50
5947806,5947806,30,20,15
4702037,4702037,70,15,50
3507015,3520005,45,30,20
5921036,5925018,20,20,10
2484005,3506008,125,45,75
5903045,5935010,30,30,10
1315029,1315033,65,25,40
1315028,1315036,35,25,15
1311030,1311030,40,20,25
1311031,1311031,60,35,30
4803002,4803004,40,15,25
1315022,1315022,80,35,45
1315021,1315028,30,0,30
1315020,1315020,95,35,60
1315027,1315028,45,20,20
1315026,1315031,35,15,15
4803004,4803004,935,435,505
1315024,1315032,40,20,20
3552026,3553005,100,40,60
3542053,3542059,2435,1055,1380
4811006,4811001,30,10,20
4811001,4811061,270,180,90
2412043,2412072,110,40,70
3549096,3551036,25,0,15
1312008,1312009,295,170,125
2446105,2456080,35,25,15
3554066,3554068,25,20,10
2446100,2456080,45,25,15
3534010,3539036,590,335,260
4815015,4815035,70,30,45
2478095,2478102,280,140,145
4815013,4815013,315,190,130
2406005,2406013,145,95,50
2499090,2499090,170,85,90
2494060,2494070,130,85,40
2499095,2499893,30,15,20
2494065,2494090,40,0,30
2456080,2468040,20,10,0
2456085,2467020,25,25,0
6001044,6001009,140,65,75
2402020,2402030,70,10,55
4803016,4803016,30,25,10
2402025,2403005,40,0,40
3549073,3549073,65,25,40
5947023,5947030,25,30,0
3560066,3560066,20,0,10
4616007,4616007,90,35,55
2472015,2475020,35,30,0
4616002,4616007,100,30,65
5947016,5947012,30,10,20
2472010,2475015,85,30,55
2456065,2468030,35,25,10
2456060,2466025,50,30,25
1312002,1312006,45,10,35
3548073,3549071,30,15,10
2457040,2467025,30,30,0
2457045,2466025,220,125,100
6001045,6001045,25,15,10
2417040,2417078,25,20,0
2438047,2438047,95,35,60
1307022,1315011,25,15,10
2421040,2423060,60,30,25
3557095,3557095,280,130,150
2438040,2438040,95,40,55
2429057,2429100,30,30,0
1307029,1307029,230,95,135
2429050,2429075,115,40,70
1303018,1310032,45,25,25
4717013,4717017,25,20,0
4817855,4817031,45,25,20
2433090,2433100,35,10,25
1303013,1303013,30,15,15
1303012,2422025,25,25,0
2433095,2433100,50,35,15
2485105,2486033,25,15,15
1303016,1310032,565,255,310
2431030,2431030,20,10,10
1010034,1010034,270,110,160
4711032,4711066,55,35,25
1010032,1010034,425,250,175
2431035,2431035,25,15,0
4717812,4717812,40,20,20
4805049,4806016,25,10,20
1008071,1008071,35,10,30
1008076,1008076,155,80,75
1008075,1008075,30,10,25
4715092,4715066,40,10,30
1008079,1008079,410,165,250
2430030,2430085,45,45,0
2435005,2435015,25,25,0
2430035,2430030,255,130,125
4715094,4715094,110,45,60
2467045,2470060,30,25,0
5943008,5943802,20,15,0
2442110,2443025,40,15,25
2467040,2470012,55,50,10
4612047,4614036,25,10,15
2429030,2431055,20,10,10
4804014,4804014,400,175,225
4804016,4804016,40,15,30
4812029,4812029,240,95,145
5955003,5955003,735,425,315
4804011,4806016,20,10,15
4607068,4615020,30,30,10
2487080,2487090,70,30,40
4812022,4816037,30,30,0
2463035,2466095,25,10,15
4607065,4615020,30,15,15
4607062,4611040,140,100,45
4804019,4804019,75,25,50
4607060,4615075,25,25,0
2463030,2466025,55,25,35
3558067,3558075,30,25,10
1217008,1217030,25,10,15
3524002,5915022,20,20,10
4819046,4819046,305,170,130
3524009,3530016,75,30,40
4708094,4712006,20,15,0
4617063,4617067,50,25,20
2409040,2409075,50,20,35
2476065,2485025,25,25,0
4617067,4617067,45,20,25
4716856,4716856,80,40,40
2476060,3502010,65,60,10
2409045,2409050,25,15,10
6204019,6204019,50,30,25
5947809,5947809,85,35,55
2439150,2449057,30,15,20
2439155,2439155,200,115,75
2414075,2414085,110,80,35
2485005,2485010,85,65,25
3560008,3560008,195,90,100
2414070,2414085,325,190,130
2445008,2445070,55,30,25
2441012,2444037,50,35,15
2417078,2418050,225,75,150
2442060,2447015,20,20,0
2458025,2466085,35,25,10
2442065,2448028,25,25,0
2458020,2474005,25,15,0
4811031,4811032,60,60,0
2417070,2423025,20,10,15
4811032,4811032,95,60,35
2487055,2487090,105,30,75
6204005,6204005,105,50,55
2414090,2417070,25,20,10
2462070,2466025,40,40,0
2486055,2488090,100,90,10
2482005,3506008,440,185,260
2486050,2499060,25,25,0
2462075,2466025,50,30,20
2454020,2466025,30,30,10
2439042,2439062,165,70,95
2454025,2466025,45,25,10
1001441,1001409,35,25,15
1001452,1001519,45,10,35
1001446,1001519,45,25,20
5935012,5935016,55,25,30
2494075,2494075,35,15,20
2466150,2472005,40,25,20
4715851,4716857,25,10,15
5949843,5949041,35,10,20
2424005,2426063,35,25,10
2450050,2454065,40,40,0
2450057,2450072,40,10,25
4716855,4716855,80,35,40
1302052,1302052,655,300,355
2434017,2434128,125,35,90
2486060,2488090,25,20,0
4716057,4716057,50,15,30
3547056,3547090,60,50,10
2428015,2429075,45,20,20
4717022,4810039,200,110,95
4715850,4715850,35,20,15
4717024,4810039,80,55,25
4717026,4810039,145,50,90
4717028,4810039,235,120,115
2486065,2486065,30,10,20
3518017,3539036,25,0,20
3549036,3549032,190,75,115
1001228,1001228,55,20,35
3518013,3539036,40,25,15
3512005,3530016,30,25,0
4710061,4710061,45,20,20
2436060,2438010,30,30,0
4714051,4715074,25,15,10
2436065,2436065,55,45,10
4807026,4807026,1710,770,940
5945012,5945012,225,110,115
4714058,4714044,20,20,0
4714059,4714059,35,10,25
4713016,4713016,25,15,0
3539002,3539005,95,30,65
4701036,4701056,25,0,30
4701037,4701037,55,35,20
4701031,4701032,20,10,10
3539005,3539047,30,30,0
4605063,4605063,135,70,70
3549039,3549039,75,55,20
2454115,2454115,105,65,45
4705027,4705024,55,10,45
4701039,4701039,35,10,20
2454110,2454110,90,25,75
4705024,4705024,190,80,110
4811034,4817031,20,15,0
3558085,3558085,20,10,10
1003801,1003801,265,125,140
5915039,5915811,35,20,20
3543007,3543042,330,160,170
2469025,2470012,25,10,15
5925039,5925039,35,10,25
1313012,1313027,60,35,30
5925034,5947032,25,20,0
4815802,4815802,295,140,155
4714028,4714032,20,10,15
5925030,5925030,160,100,65
3543009,3543074,125,50,75
4810059,4811061,25,10,10
2408080,2409075,20,10,15
2469060,2470045,45,20,25
3544065,3549032,40,15,20
5901035,5903013,35,10,20
2469065,2470055,25,20,0
2407057,2407085,20,20,0
5901039,5901048,105,50,55
4810052,4810052,195,60,140
4810056,4810056,25,10,20
3551001,3551006,40,0,40
4710021,4710027,30,0,25
2493020,2494070,30,30,0
4616017,4616017,205,80,125
2493025,2494070,20,15,10
3551006,3551094,20,10,10
2419090,2424020,50,10,40
4802009,4802012,150,90,60
5905026,5905014,540,290,255
3556093,3556093,90,45,45
4718051,4718052,430,250,180
2419097,2461035,30,10,20
4717802,4717802,40,20,20
4717803,4717803,60,25,35
4717801,4717801,205,100,110
4717806,4717806,80,30,50
4717807,4717807,70,30,40
4717805,4717805,70,35,30
2492045,2492045,105,95,10
2492040,2499025,40,40,0
2498005,2498005,305,130,175
2466140,3520005,25,15,15
4715072,4715072,35,15,25
5915029,5953023,25,20,10
2488090,2488090,60,35,25
4619079,4619079,65,30,35
5909020,5915075,75,65,10
4619077,4619077,75,40,40
3556092,3556092,185,95,95
4619075,4619075,135,75,55
5933032,5941005,30,15,15
5915020,5915055,20,20,10
4619070,4619070,105,30,75
4715074,4715074,95,60,30
1101006,1102075,30,10,25
4709001,4709012,55,15,45
1101004,1101018,20,10,15
4817027,4818018,30,10,25
1101002,1101002,35,20,15
1101001,1102075,40,10,25
2451065,2451065,495,190,300
4715076,4715076,25,15,15
2451060,2451060,180,85,95
1101008,1102075,35,30,10
1101009,1102075,40,30,15
5925801,5925010,30,10,15
4706001,4705021,30,20,15
4706002,4706027,30,10,25
4706004,4706027,70,30,35
4706006,4706027,25,0,20
4706007,4706027,85,45,45
4706008,4706027,65,25,35
4621045,4621045,2370,1240,1125
6001055,6001009,105,40,60
4621040,4621041,20,10,10
4618037,4618074,80,30,50
4621043,4621043,190,75,115
5951809,5951809,75,35,40
4618031,4618074,50,35,20
4702026,4702029,30,0,25
4702024,4702024,45,0,45
4712051,4712051,70,35,30
4712056,4712056,100,45,50
4702023,4702023,70,20,45
4712054,4712056,35,15,20
1007054,1007060,45,15,30
5909060,5915075,25,0,20
3514004,3520005,55,40,10
1007057,1007057,55,15,40
1007050,1007050,70,25,45
4702028,4702028,25,15,10
4702029,4702047,25,10,15
3512026,3521010,35,10,30
4714074,4714076,75,35,40
4714842,4714842,35,15,15
4714841,4714841,45,15,25
4714840,4714840,40,20,20
3540005,3540040,80,60,20
3511005,3520005,20,20,10
5951031,5951031,95,45,55
5915802,5915802,35,20,20
3559024,3559031,35,10,25
3556031,3556042,35,25,10
3556073,3556073,65,50,15
1311001,1311014,35,25,15
6204015,6204015,170,90,80
1311005,1311005,40,15,25
1311004,1311023,25,20,0
1311006,1311023,55,40,20
1315030,1315033,25,15,15
1311008,1311023,30,10,15
1315032,1315032,285,150,135
1315033,1315033,120,65,55
1315036,1315036,85,20,60
1315037,1315037,35,15,15
4811012,4811801,25,0,20
3552052,3552052,35,15,20
3552051,3553005,35,20,20
2412030,2412072,105,60,50
4811016,4811061,1640,990,650
2412035,2412072,40,15,25
3534005,3539036,55,20,35
4811018,4811061,735,370,365
2479055,2479055,110,60,50
2449080,2449075,105,70,40
2499135,2499135,285,130,155
3537028,3537064,120,75,45
5937803,5937014,75,25,50
5937802,5937802,50,25,30
5937801,5937801,85,40,50
2406013,2406020,90,60,25
5909880,5909056,20,10,10
2416023,2423025,30,25,0
2463055,2475028,30,0,20
3512036,3521010,35,10,30
2485802,2485010,25,15,15
2494095,2494095,180,100,80
2449085,2449085,55,55,10
2485806,2485806,120,50,70
2485804,2485804,35,15,15
1002012,1002018,25,15,15
2457057,2466025,125,75,45
2471025,2471133,25,15,10
3560088,3560088,90,50,45
2457050,2466025,220,135,85
2471020,2471133,35,0,25
2472005,2476020,60,40,20
2402035,2402035,45,20,20
3560081,3560081,45,25,15
2402030,2402030,700,290,410
2456050,2456080,40,20,20
3518009,3543042,20,20,0
2456055,2466025,35,35,0
4715014,4711066,45,20,25
2453025,2466025,30,20,10
2453020,2457068,25,10,20
1303006,1310032,80,40,40
4718814,4718814,50,25,30
1303004,1310032,85,45,40
1303005,1310032,65,40,20
1307019,1308001,45,35,10
1102001,1102001,35,20,10
2438035,2438047,25,15,10
1303001,1310032,95,45,55
4808044,4811001,25,25,0
2429045,2429075,170,80,90
1307016,1308001,35,20,15
1307011,1307045,30,30,0
1303008,1310032,1575,685,890
1307012,1307022,20,10,10
5947012,5953023,25,20,0
1003012,1003012,55,35,25
1312021,1312023,50,25,25
5937010,5937024,135,105,25
4605039,4605043,20,15,0
4702072,4702072,30,10,25
1010042,1010042,135,70,65
2435015,2436055,20,10,10
2431008,2443025,25,15,10
2435010,2435050,25,15,10
1010044,1010044,85,35,50
2461013,2466025,35,30,15
1010048,1010048,130,50,85
4813028,4813031,910,445,465
1008060,1008060,80,30,50
1008061,1008069,20,20,0
1008063,1008061,25,0,20
1008064,1008064,50,25,25
4713008,4713026,20,15,0
2430020,2430030,75,35,40
1008069,1008069,50,35,15
4705001,4705001,125,50,70
3518005,3524001,50,30,25
2430025,2430080,35,20,15
3530013,3543021,20,25,0
2442100,2443025,90,50,45
2467030,2470060,30,20,10
3530016,5953023,20,25,0
2467035,2468055,140,85,55
4606018,4606034,85,65,20
5943033,5943033,130,95,40
4805018,4806016,1135,735,395
1001339,1001519,25,15,10
4714069,4714076,30,0,20
4819059,5955014,50,20,30
4804021,4804021,85,35,45
4804020,4804022,125,30,90
4804022,4804022,260,130,125
5955010,5955023,25,10,20
3510035,3520005,35,25,10
2463025,2466025,60,30,35
5941801,5941801,55,25,30
2463020,2463035,20,10,15
4602027,4602027,90,40,50
4714067,4714076,40,0,35
3524015,3539036,40,20,20
1217030,4816037,60,60,0
4810058,4812029,25,0,30
4805012,4806016,910,520,390
5927016,5927016,130,100,35
1213008,1216006,30,15,10
4617073,4617073,120,45,70
3554068,3556092,25,25,0
4617076,4617076,45,20,25
6001036,6001048,25,10,20
5935025,5937024,25,25,0
2401040,2401040,140,55,80
3559019,3559024,40,30,15
3554062,3554068,90,55,35
4609029,4806016,25,20,10
2417045,2418050,25,15,10
2406802,2406802,75,25,50
2445070,2466025,85,55,30
2439145,2439145,30,20,10
2445075,2466025,95,65,30
2406804,2406804,260,80,185
2414060,2414085,95,70,30
3560069,3560066,20,0,15
2414065,2414085,175,100,80
2452035,2466025,35,30,10
2418015,2418050,50,35,20
2442078,2449057,25,10,15
2452030,2466025,20,20,0
3557079,3557079,495,315,185
2442075,2443025,40,15,25
4716052,4716052,70,25,40
1001456,1001519,95,35,60
2414085,2466025,25,0,20
2483015,3506008,75,35,45
2414080,2418050,25,0,25
5949041,5949041,20,10,15
2483010,3506008,110,35,70
6001042,6001042,40,20,25
2482015,3506008,1180,585,595
2489040,2489040,855,490,365
4610043,4614031,25,20,10
2482010,2482010,50,10,35
4807039,4811002,55,25,30
2489045,2489040,295,180,120
2496025,2496030,80,65,15
4701002,4701002,30,10,25
2496020,2497010,25,25,0
2420005,2423025,50,15,35
1001181,1001178,55,15,35
4708006,4708011,50,10,35
4701004,4701006,25,0,25
2428025,2429075,105,80,30
1010029,1010029,290,170,120
2428020,2429075,410,245,165
2424015,2425025,20,20,0
2450042,2450072,30,15,20
2424010,2425043,45,40,0
4711068,4711070,25,20,10
2476025,2477045,20,0,20
4705031,4705031,200,90,115
6001060,6001060,30,10,15
2434007,2434128,25,0,20
2445105,2447025,60,50,15
2445100,2445070,45,40,10
4713006,4713008,170,50,115
1102006,1102075,25,10,20
1102004,1102075,25,0,15
4713002,4713008,40,25,10
4717018,4810039,25,10,10
1001234,1001234,65,15,50
4705029,4705029,260,110,155
4717017,4810039,30,10,20
3518001,3530016,35,15,20
4717011,4717011,80,30,45
1102009,1102075,140,40,100
1102008,1102075,140,85,60
4714061,4714061,35,15,15
1213001,1214002,50,10,45
4714062,4714062,50,35,10
1213004,1215002,35,25,0
1213006,1213006,220,110,110
1010020,1010025,50,20,25
2450105,2453052,45,35,15
2449100,2449057,105,55,50
2450100,2450128,20,10,10
2449105,2454045,25,20,10
6106001,6106001,945,445,500
4705038,4705038,185,130,60
1010022,1010025,100,50,50
3539015,3539047,635,390,240
4701006,4701014,30,10,20
4701008,4701014,30,15,10
4705033,4705034,25,10,10
4705034,4705052,20,20,0
3538019,3538035,70,35,35
4705037,4705038,65,35,30
4601098,4601098,240,140,95
2462047,2466075,35,30,0
3538018,3538030,70,45,25
1008008,1008008,180,45,130
3538016,3552023,20,10,15
3538015,3539036,75,40,30
4810046,4810046,30,25,10
3543072,3543074,1330,690,635
3543071,3544065,30,20,10
5925029,5925029,45,10,35
4810042,4812016,45,40,10
3543074,3544065,55,20,30
3547002,3547048,95,30,65
3547003,3547064,25,15,10
5927010,5927010,85,60,25
3557072,3557072,65,25,45
5925025,5925025,375,135,240
5937024,5939032,60,20,40
5901022,5901046,55,50,0
5937021,5937024,85,60,25
4608031,4608038,50,20,35
5937023,5937014,45,20,30
4608033,4608033,165,65,100
5901028,5901046,30,25,10
2487095,2487090,65,25,40
2407047,2410045,30,20,15
2407040,2407085,25,10,20
3543005,3543074,20,10,10
2493030,2494070,95,20,80
4716005,4716029,25,0,20
2411045,2412072,30,30,0
2493035,2494070,20,10,10
2411040,2412072,60,40,20
3551017,4815035,25,25,0
5905014,5905023,55,15,35
3551011,3557041,20,0,20
3509010,3521010,25,0,25
3509015,3520005,30,25,0
2492030,2492055,60,55,0
3552023,3557039,40,15,20
5923824,5923824,40,20,15
5909832,5909832,55,25,35
5915038,5915043,85,45,40
5909830,5909052,30,10,15
5923823,5923025,30,10,15
5927012,5927016,60,45,15
5933042,5941009,25,25,0
5909839,5909839,40,10,25
5915036,5915039,30,15,10
3547008,3547048,235,120,120
5915034,5921007,30,20,10
5933044,5933880,75,60,10
4713092,4713094,50,25,30
5951019,5953023,80,35,50
5953012,5953012,270,150,120
4810041,4810041,70,30,40
4621078,4621078,105,55,50
4710004,4710004,135,45,85
4706039,4706051,20,10,15
4706038,4706039,50,20,35
4709029,4709032,100,30,70
4709028,4709028,75,40,30
4621071,4621071,490,290,200
4706034,4706037,25,10,15
4706037,4706037,35,15,15
2479020,2479085,110,35,75
4706031,4706031,105,20,85
4706030,4706030,65,10,55
4706033,4706027,40,15,25
2480027,2481020,20,10,0
4805019,4805019,30,20,15
4804001,4804012,30,0,30
3501012,3507015,65,45,20
3501011,3507065,25,0,15
4702052,4702052,20,10,15
4702051,4702047,25,10,15
4713094,4713094,105,80,25
4702057,4702057,60,15,40
4810048,4812016,25,15,15
4702054,4702054,25,15,10
1007060,1007060,495,225,270
4702058,4702058,55,25,30
1007064,1007021,40,30,10
5943012,5943033,110,90,25
4604068,4604068,65,25,40
4604066,4604066,60,55,10
5949810,5949810,30,15,15
4604063,4611040,35,25,10
5937022,5937024,35,15,15
5909014,5909014,130,60,70
5945014,5945802,35,25,10
5909016,5909016,35,15,15
3540010,3540055,30,25,0
2459025,2466025,385,200,180
3556027,3556092,35,30,0
4611040,5915022,45,20,30
5915025,5931006,25,20,10
3526057,3528018,45,20,25
4809806,4809806,75,35,45
1311018,1311023,60,35,25
1311019,1311023,70,45,30
2471100,2471105,55,20,35
3521010,3543042,45,30,15
1311014,1311023,40,25,10
1305007,1305057,70,30,40
1311012,1311023,30,15,15
2471105,3506008,20,15,0
1311011,1311026,45,35,10
2412020,2412072,285,170,115
5951009,5951017,65,55,10
2406020,2406030,25,20,0
2499120,2499120,355,170,185
3534030,3539036,395,200,195
5951007,5953023,25,25,0
2499125,2499125,85,40,45
5915808,5915811,20,10,20
4818015,4819012,400,185,215
4712058,4712058,60,20,35
4608038,4608038,120,70,60
2416013,2423060,25,15,0
3544073,3544073,30,15,15
6107003,6107003,110,45,65
3542037,3542059,770,330,435
4709820,4709820,65,25,40
6107005,6107005,95,40,55
2494085,2494085,35,25,10
6107009,6107009,155,75,80
2494080,2494080,135,50,80
2457020,2467015,25,0,25
2457025,2466075,35,35,0
2471033,2471083,115,50,70
3560090,3560090,230,130,105
2402040,2405032,35,25,10
3560097,3560097,30,15,15
2402045,2402045,225,85,140
2483045,2483065,40,15,25
2446017,2446035,80,45,35
2446010,2466025,25,10,20
5921016,5921010,25,10,20
2456042,2466025,25,20,0
2453032,2466025,25,20,10
4817095,4817095,1460,800,660
2425015,2433090,25,25,0
1307009,1307045,60,50,10
2425010,2433090,65,45,20
2438028,2438028,115,60,55
2429070,2429100,25,10,10
1307001,1307022,35,15,15
2429075,2466025,30,20,10
1307007,1307052,75,20,55
1307004,1307022,40,25,10
1307005,1309036,25,15,15
4620032,4620048,35,15,20
2432013,2439062,85,35,55
1315006,1315028,20,15,10
1315001,1315031,65,25,40
4620037,4620048,220,90,130
1315003,1315032,20,15,0
5947007,5947012,120,45,75
4620039,4620048,105,60,45
1315008,1315015,35,15,20
2430015,2430005,20,10,10
2430010,2441027,110,75,35
1010056,1010056,310,145,165
4817842,4817095,20,10,10
1010059,1010059,65,20,50
2431015,2441098,25,20,10
5943027,5943027,60,45,25
1008059,1008059,50,15,30
5943023,5943033,20,20,0
1008054,1008054,130,75,60
1008056,1008056,30,25,10
5951022,5951028,30,35,0
4704061,4708004,45,15,25
1008053,1008054,20,10,15
2467020,2468055,25,10,10
4602037,4611040,65,30,35
3530004,3532038,30,15,10
2467025,2468055,25,25,0
4703096,4707039,45,15,30
4707022,4708004,140,55,80
4717014,4717014,20,0,15
4606023,4607062,45,50,0
4703093,4703093,30,20,10
5955021,5955042,20,20,0
4603030,4611040,35,15,20
4603033,4603033,150,55,95
5955025,5955025,235,130,105
4603036,4603067,40,15,20
4603038,4603040,180,100,80
2463013,2466025,60,30,25
1214001,1215002,85,60,25
2414040,2414040,80,30,45
1214002,1215002,20,15,10
5901806,5901046,25,0,20
1214006,1216006,55,40,20
4808008,4809002,50,45,10
3523033,3531040,140,65,75
3554058,3554068,40,10,30
5915022,5947012,25,20,0
4617048,4617050,720,310,410
2476008,3502010,25,15,0
3554052,3554052,370,180,190
3554054,3554068,30,20,15
2487085,2487090,165,95,65
2445060,2445070,280,170,115
3532038,3539036,90,55,40
3560070,3560070,125,75,45
2445065,2445070,635,315,320
2417055,2418050,35,15,15
3541057,3541057,110,45,70
2413015,2413015,40,20,20
3560078,3560078,100,45,50
2439170,2439170,35,15,20
2442005,2445070,20,20,0
4807029,4807026,25,15,10
5917049,5917049,40,15,20
2483005,3506008,135,80,55
1001421,1001519,40,20,25
2487075,2487090,60,35,25
1001426,1001409,50,20,30
5917041,5919043,30,25,0
2482020,3506008,1145,585,560
1001429,1001519,75,25,45
5917042,5917052,80,45,35
2482025,3506008,1555,790,760
5917044,5921007,30,15,10
5917047,5917811,25,25,10
2420010,2423060,25,0,25
2496010,2496020,30,30,0
4614042,4614042,185,60,125
2496015,2496020,105,50,55
2420015,2423025,105,55,50
2450072,2466025,50,35,10
5931026,5931026,1025,450,570
4701014,4701024,20,10,15
5931813,5931026,25,15,10
2428030,2429075,70,45,30
2499075,2499075,170,90,85
2424020,2466095,25,20,0
2434078,2434097,30,0,20
1217020,1217020,405,180,220
2445115,2466025,80,40,40
2434070,2434070,65,25,40
2445110,2466025,20,15,10
1102014,1102080,85,30,55
4713072,4713074,95,40,55
4717008,4717008,25,0,20
4715052,4714051,20,10,20
1102012,1102080,50,40,15
4713074,4713074,650,305,340
4713079,4810039,20,10,20
4717001,4717008,20,0,15
4717006,4712079,20,20,0
5907024,5907055,25,15,10
4622067,4622051,95,45,50
4705004,4705038,50,45,0
4622065,4622065,110,55,55
4622064,4622064,55,30,25
4622063,4622063,270,145,130
4811064,4811064,155,10,145
4714079,4714079,60,25,35
4714076,4714076,1255,600,650
4714077,4715066,25,20,10
2450110,2453052,30,20,0
2449113,2454045,30,10,15
4705009,4705009,30,10,20
3528018,3539036,25,10,10
2450115,2453052,60,40,20
4705093,4705094,30,10,20
1201009,1201009,150,70,80
1216006,1217030,25,0,15
4701016,4701024,75,35,40
1201006,1204010,35,20,15
2485085,2485025,40,15,20
1201004,1201004,175,100,75
4701012,4701014,20,0,10
1201001,1202006,30,10,20
4701011,4701014,60,30,30
2462053,2466025,30,30,0
2434105,2434128,25,10,15
2466145,2473005,30,25,0
2462055,2462060,80,45,30
4618057,4618057,350,145,205
4618055,4618055,120,65,55
3538003,3539036,40,20,20
4618052,4618052,120,30,90
3538007,3539036,25,10,15
4714032,4714032,175,95,80
4810031,4810031,50,25,20
3543064,3543072,20,0,20
4805046,4805046,155,90,70
4802016,4802016,30,15,15
2487100,2487090,25,15,10
3543068,3543074,1390,655,740
3543069,3543069,95,30,60
4810039,4811061,35,20,10
4810038,4810038,50,25,30
5909027,5909032,100,60,40
4813046,4813048,20,10,15
1001559,1001559,125,45,75
4813044,4817031,30,25,0
5901019,5901022,85,15,70
2433052,2433100,40,35,10
3547076,3547096,100,30,70
4814024,4814024,2955,1485,1465
2407070,2407070,35,10,20
1001551,1001559,25,0,25
2407075,2408055,35,20,15
4813049,4813048,55,15,45
4813048,4813048,735,320,415
2411055,2411055,25,20,10
5949005,5949011,70,50,15
2411050,2411050,40,30,10
2493005,2493040,45,35,10
4714035,4714051,40,10,35
3509001,3509028,25,15,0
3509004,3510010,25,25,0
1102051,1102075,25,15,10
2492022,2499025,45,45,10
4714038,4714044,70,25,50
5909821,5909020,50,20,25
4802014,4802014,45,20,30
4819058,4819059,25,20,0
2469005,2469037,25,10,15
4810034,4810036,60,20,35
5933054,5939044,30,0,30
2438802,2438010,35,10,25
2491025,2494070,30,10,10
4808811,4811801,55,20,30
3512061,3512076,40,25,10
4621064,4718051,105,40,70
4808813,4808813,60,30,35
2491020,2491025,210,65,145
4710014,4710027,25,0,15
4706028,4706027,180,80,100
4706029,4706032,40,10,25
4709039,4709039,475,200,270
4706022,4707039,20,15,15
4706023,4706027,155,65,90
4706021,4706027,80,25,50
4706026,4706027,290,150,140
4706027,5915022,20,10,15
4709032,4709032,450,210,235
2498030,2498030,55,15,40
6205023,6205023,365,175,190
6106018,6106018,100,50,55
3515015,3521005,20,20,0
6106017,6106017,25,15,10
3501005,3520005,20,15,10
6106014,6106014,165,75,90
4702041,4701024,35,20,15
4702042,4702047,45,30,15
3541055,3542059,570,295,280
1003008,1003008,330,170,160
4702048,4702047,35,15,20
1003004,1003004,125,65,60
1003003,1003004,40,25,10
1003002,1003002,35,25,10
4616032,4616032,510,240,270
5941027,5941027,75,30,45
4704003,4704003,35,20,15
4718802,4718802,110,55,55
4718801,4718801,45,20,30
4718809,4718809,65,25,35
5941021,5953046,40,30,10
4715057,4715066,85,30,50
3540025,3540063,35,25,15
4610052,4611042,35,15,20
2404047,2408005,25,25,0
3559001,3559090,145,140,10
3540028,3549039,30,0,30
5909009,5915025,30,15,10
2403010,2403010,60,40,25
2499115,2499115,65,25,35
3534024,3539036,675,330,340
4807049,4807056,45,25,15
3526065,3529006,30,25,10
2499110,2499110,135,65,70
3534020,3539036,1465,780,685
3534021,3539036,3110,1750,1365
4807042,4807044,80,30,45
4811019,4811061,205,125,80
4807046,4807048,25,15,0
4802029,4802029,275,150,125
4807044,4807044,220,125,95
4712038,4712006,50,20,25
4811805,4811805,130,60,70
2406030,2406045,25,30,0
2416005,2416013,80,20,60
4715051,4715051,20,10,15
2406035,1314014,35,10,30
2412015,2414035,45,45,0
5951013,5951803,30,15,10
2412010,2412072,85,50,35
5951017,5951022,20,0,20
4810061,4810061,95,20,70
4706036,4706039,35,25,15
4709023,4710047,20,10,15
6107007,6107007,365,195,170
6107010,6107010,55,30,25
3541004,3543007,20,25,0
6107014,6107014,75,35,35
4710009,4710009,40,20,15
4605047,4605047,55,30,30
4706032,4706032,100,50,50
2457030,2466085,25,20,10
4811062,4816037,170,165,0
2457033,2466025,135,45,90
2471005,2471040,25,15,10
2457035,2467015,25,15,10
2402050,2405032,30,10,15
4716077,4716061,30,0,30
2475035,2477045,25,0,20
2499060,2499060,290,165,130
2429065,2429075,75,50,30
2446025,2446095,25,10,10
3549018,3549054,25,20,0
2456030,2468005,25,10,10
2453005,2466025,25,15,10
2456035,2468030,55,35,20
2425005,2433090,35,20,15
3523009,3530035,25,15,10
4710062,4715008,30,30,0
1302044,1302037,80,45,35
2438015,2438010,35,25,10
2433045,2433100,25,15,10
2421010,2423060,45,35,10
2438010,2466025,40,40,0
2433040,2433100,25,15,10
1315012,1315037,65,40,25
1315013,1315037,30,20,15
1304008,1304008,25,20,10
1315016,1315038,95,45,50
1315017,1315038,40,10,35
1315014,1315037,25,15,10
1315015,1315015,390,165,230
2480145,3506008,25,15,10
1304001,1304001,30,10,20
1315019,1315028,145,50,95
2480140,3506008,80,55,20
1304006,1304005,55,40,20
1304005,1310032,50,10,40
1304004,1310032,30,15,15
