res,work,total,male,female
1313014,1313027,170,75,95
1313015,1313027,125,45,75
3541024,3542059,50,20,30
2405045,2406005,35,10,25
4802001,4802012,155,60,95
1313011,1313027,55,15,45
2405040,2405045,60,20,40
4802002,4802004,40,10,30
3523017,3530013,25,10,10
1304021,1310032,105,40,60
4708071,4713008,40,0,35
1313018,1313027,275,145,130
4708076,4713008,30,10,25
4708074,4708076,95,30,65
5953038,5953038,35,15,20
2409025,2410045,60,45,20
4815032,4815035,285,160,130
4806019,4815802,30,0,30
4806016,6107017,20,10,10
4618034,4618034,30,20,10
2401035,2401035,215,115,105
5953033,5953033,2515,1555,960
4605024,4607062,25,15,10
4618033,4618033,415,195,215
2401030,2401040,35,35,0
1001113,1001113,205,105,100
2413040,2413040,100,70,25
2483060,3506008,20,15,0
2413045,2413045,100,55,40
1308015,1308015,205,70,130
2441075,2430030,20,20,0
4706811,4706811,50,20,30
2414010,2414018,75,55,20
2419010,2419030,55,25,35
2466040,3520005,20,10,20
2425025,2426030,40,30,10
2466045,2466115,25,10,20
2419015,2419030,45,30,10
2433065,2433065,50,10,35
3549051,3549054,30,10,15
2408005,2408055,50,30,25
3549056,3549056,120,60,55
2483065,2483095,25,15,10
2449065,2466025,35,20,15
2411030,2411040,30,10,20
2439077,2449057,30,35,0
2411035,2411040,35,10,25
6001037,6001037,75,20,50
1001332,1001332,75,20,60
2489035,2489040,20,20,10
2418010,2418010,20,10,10
2448045,2454045,25,10,20
6001032,6001003,25,10,15
1001335,1001335,55,25,25
2489030,2489005,270,160,115
2454045,2466085,35,35,0
2454040,2466025,70,55,10
3502008,3506008,180,110,65
2449005,2449057,100,25,75
3502001,3506008,75,50,25
3521005,5931020,35,25,0
4718042,4718809,35,0,20
1102070,1102085,20,10,15
5921014,5921020,20,20,0
1102075,1307022,20,20,0
4718049,4718052,165,105,60
3513020,3521005,35,15,20
5903807,5903004,30,15,10
2422030,2423060,25,10,15
2444003,2444037,45,10,30
2422035,2425025,20,15,0
5905030,5905030,50,40,10
4615051,4705038,25,20,0
4717062,4812002,50,20,25
2440032,2443025,40,35,10
4811021,4811061,30,25,10
2415055,2437065,30,25,0
2489050,2489040,40,10,25
2459020,2467030,20,20,0
1305004,1305045,25,15,15
2487110,2487090,110,70,40
1305006,1305057,45,0,35
1001240,1001519,95,50,40
1305008,1301006,105,45,60
4809809,4809809,50,15,35
2423030,2466025,120,95,25
2426005,2426030,90,40,50
2423035,2425043,40,30,10
2436005,2451020,45,35,10
4709058,4709058,20,15,10
4710071,4714022,70,40,35
5937041,5939045,40,25,15
1309028,1309050,580,315,270
1309026,1309050,420,205,220
4709053,4709032,35,15,20
1309024,1310032,65,30,35
1309022,1310032,25,0,25
1309023,1309023,50,20,35
4709054,4709032,25,0,25
1309021,1309022,70,30,40
2475020,2478028,25,0,20
3548055,3553005,260,195,60
1009018,1009019,35,0,30
1009019,1009022,35,10,25
1009016,1009016,85,45,35
1009015,1009015,50,40,10
1009012,1009013,50,30,15
1009013,1009013,175,80,90
1009010,1009010,45,10,35
1009011,1009011,90,50,35
4718005,4718005,100,50,50
5931814,5931026,20,15,10
5929028,5929028,110,85,20
4818005,4819012,40,30,10
4803018,4806016,25,25,0
5933832,5933015,30,20,15
2496030,2496030,115,50,65
5935801,5935016,85,30,55
4718052,4718052,110,55,50
5935803,5935027,25,0,15
5935802,5935803,35,10,25
1002048,1007013,25,0,30
2431140,2431140,105,60,45
4805042,4805042,60,30,30
4805044,4806021,20,10,20
1216001,1216011,35,25,10
4805048,4817031,20,20,0
1002041,1002041,35,15,20
3547075,3547090,245,220,25
5925054,5925817,25,0,20
5925052,5925054,50,0,45
3547070,3547090,55,50,15
4610035,4614015,30,20,10
2415065,2415065,55,30,20
4615041,4615041,85,30,55
2470005,2470012,45,35,10
4615046,4705004,25,15,15
5941014,5941014,490,260,230
2477060,2477060,70,40,30
5907026,5907041,25,15,0
2447025,2447025,700,380,325
2477065,2478102,20,10,10
2493080,2493080,130,80,50
2447020,2466057,25,15,10
4711066,6106023,25,15,10
5941016,5941016,50,40,15
2479070,2479090,45,35,10
4806001,4814003,45,30,15
4715047,4715047,50,20,35
2479075,2479085,150,80,75
5903060,5903060,60,0,55
3556056,3556066,235,140,95
3556052,3556066,80,40,40
5943037,5943037,145,50,95
4616029,4616032,20,10,15
4813811,4813811,160,80,80
2443035,2447015,20,20,0
5915046,5931020,55,25,30
6001041,6001041,100,35,65
5915043,5915075,190,75,115
2443030,2466025,50,25,30
4811024,4811024,115,75,45
4709037,4709039,150,35,120
2488070,2488055,65,15,50
2451005,2466015,25,20,10
4806006,4806016,805,555,250
2488075,2488055,270,120,145
4806009,4806016,270,160,115
4810018,4811061,140,105,35
2427015,2429075,45,35,15
5941005,5941015,35,10,30
4802031,4804004,25,20,0
4709033,4709039,35,10,25
4802032,4802034,70,40,30
5905018,5905023,20,0,15
2494030,2494050,45,20,20
4715075,4715075,65,20,45
2494035,2494070,70,60,10
4710008,4710008,20,10,0
4605037,4605039,75,35,40
2446085,2447015,40,20,25
2446080,2466085,20,20,0
5925022,5925034,155,70,85
