uid,region,name,population,latitude,longitude
M07076,Mexico,Sabanilla,21156,17.28406,-92.55097
M07077,Mexico,Salto de Agua,49300,17.55628,-92.33403
M07078,Mexico,San Cristobal de las Casas,132421,16.73743,-92.63847
M07079,Mexico,San Fernando,26436,16.87158,-93.2071
M07080,Mexico,Siltepec,32457,15.55775,-92.32264
M07081,Mexico,Simojovel,31615,17.14074,-92.71432
M07082,Mexico,Sitala,7987,17.02491,-92.30791
M07083,Mexico,Socoltenango,15171,16.24384,-92.3507
M07084,Mexico,Solosuchiapa,7784,17.42905,-93.0296
M07085,Mexico,Soyalo,7767,16.89103,-92.92487
M07086,Mexico,Suchiapa,15890,16.6302,-93.09182
M07087,Mexico,Suchiate,30251,14.68002,-92.15152
M07088,Mexico,Sunuapa,1936,17.48961,-93.24322
M07089,Mexico,Tapachula,271674,14.9089,-92.26069
M07090,Mexico,Tapalapa,3639,17.19073,-93.10516
M07091,Mexico,Tapilula,10349,17.24934,-93.01682
M07092,Mexico,Tecpatan,38383,17.13685,-93.31127
M07093,Mexico,Tenejapa,33161,16.81797,-92.50736
M07094,Mexico,Teopisca,26996,16.54021,-92.47375
M07096,Mexico,Tila,58153,17.30101,-92.4257
M07097,Mexico,Tonala,78438,16.08717,-93.75517
M07098,Mexico,Totolapa,5513,16.5452,-92.68125
M07099,Mexico,La Trinitaria,59686,16.11857,-92.05179
M07100,Mexico,Tumbala,26866,17.27851,-92.31681
M07101,Mexico,Tuxtla Gutierrez,434143,16.75353,-93.11682
M07102,Mexico,Tuxtla Chico,33467,14.93973,-92.16819
M07103,Mexico,Tuzantan,23180,15.14666,-92.42236
M07104,Mexico,Tzimol,11925,16.18828,-92.19707
M07105,Mexico,Union Juarez,13934,15.06333,-92.08069
M07106,Mexico,Venustiano Carranza,52833,16.33883,-92.56403
M07107,Mexico,Villa Corzo,68685,16.18606,-93.26877
M07108,Mexico,Villaflores,85957,16.23439,-93.26683
M07109,Mexico,Yajalon,26044,17.1713,-92.33041
M07110,Mexico,San Lucas,5673,16.61243,-92.71821
M07111,Mexico,Zinacantan,29754,16.76047,-92.72237
M07112,Mexico,San Juan Cancuc,20688,16.89242,-92.37096
M07113,Mexico,Aldama,3635,16.91825,-92.6882
M07114,Mexico,Benemerito de las Americas,14436,16.51966,-90.65065
M07115,Mexico,Maravilla Tenejapa,10526,16.13967,-91.29567
M07116,Mexico,Marques de Comillas,8580,16.33577,-90.76426
M07117,Mexico,Montecristo de Guerrero,5086,15.6933,-92.61847
M07118,Mexico,San Andres Duraznal,3423,17.1313,-92.80432
M07119,Mexico,Santiago el Pinar,2174,16.94047,-92.71458
M08001,Mexico,Ahumada,11901,30.61879,-106.51278
M08002,Mexico,Aldama,19378,28.83885,-105.91164
M08003,Mexico,Allende,8561,26.94003,-105.39578
M08004,Mexico,Aquiles Serdan,5327,28.59414,-105.88831
M08005,Mexico,Ascension,21939,31.09294,-107.99699
M08006,Mexico,Bachiniva,6403,28.76885,-107.25417
M08007,Mexico,Balleza,16770,26.95419,-106.34664
M08008,Mexico,Batopilas,12545,27.02697,-107.74001
M08009,Mexico,Bocoyna,27907,27.84055,-107.58974
M08010,Mexico,Buenaventura,20056,29.84381,-107.47251
M08011,Mexico,Camargo,45852,27.68722,-105.173
M08012,Mexico,Carichi,7760,27.91721,-107.05749
M08013,Mexico,Casas Grandes,10004,30.37546,-107.94893
M08014,Mexico,Coronado,2205,26.73754,-105.15883
M08015,Mexico,Coyame del Sotol,1708,29.46161,-105.09773
M08016,Mexico,La Cruz,3777,27.86416,-105.19689
M08017,Mexico,Cuauhtemoc,124378,28.40525,-106.86722
M08018,Mexico,Cusihuiriachi,5784,28.24137,-106.83722
M08019,Mexico,Chihuahua,671790,28.63553,-106.08942
M08020,Mexico,Chinipas,6768,27.39334,-108.5367
M08021,Mexico,Delicias,116426,28.19359,-105.47162
M08022,Mexico,Dr. Belisario Dominguez,3853,28.15526,-106.47748
M08023,Mexico,Galeana,3876,30.11297,-107.61669
M08024,Mexico,Santa Isabel,4759,28.34248,-106.36887
M08025,Mexico,Gomez Farias,8867,29.35715,-107.73836
M08026,Mexico,Gran Morelos,3875,28.24887,-106.51054
M08027,Mexico,Guachochi,40615,26.81975,-107.07055
M08028,Mexico,Guadalupe,10032,31.38988,-106.10193
M08029,Mexico,Guadalupe y Calvo,48355,26.09533,-106.96498
M08030,Mexico,Guazapares,8066,27.27556,-108.27836
M08031,Mexico,Guerrero,39109,28.54802,-107.48613
M08032,Mexico,Hidalgo del Parral,100821,26.93281,-105.66358
M08033,Mexico,Huejotitan,1169,27.05613,-106.1797
M08034,Mexico,Ignacio Zaragoza,7832,29.64354,-107.76448
M08035,Mexico,Janos,10214,30.88795,-108.1906
M08036,Mexico,Jimenez,38323,27.1303,-104.92383
M08037,Mexico,Juarez,1218817,31.73959,-106.4875
M08038,Mexico,Julimes,5165,28.42332,-105.43107
M08039,Mexico,Lopez,4080,27.00281,-105.03355
M08040,Mexico,Madera,34056,29.19022,-108.14198
M08041,Mexico,Maguarichi,1795,27.85833,-107.99447
M08042,Mexico,Manuel Benavides,1746,29.10746,-103.90686
M08043,Mexico,Matachi,3221,28.84273,-107.75447
M08044,Mexico,Matamoros,4429,26.76392,-105.58273
M08045,Mexico,Meoqui,40018,28.26804,-105.48274
M08046,Mexico,Morelos,9482,26.67114,-107.67806
M08047,Mexico,Moris,5219,28.14886,-108.52309
M08048,Mexico,Namiquipa,23643,29.2505,-107.40974
M08049,Mexico,Nonoava,2946,27.47111,-106.73499
M08050,Mexico,Nuevo Casas Grandes,54390,30.41351,-107.91309
M08051,Mexico,Ocampo,7276,28.19358,-108.36753
M08052,Mexico,Ojinaga,24307,29.56466,-104.41688
M08053,Mexico,Praxedis G. Guerrero,8905,31.37294,-106.00611
M08054,Mexico,Riva Palacio,10020,28.54608,-106.50221
M08055,Mexico,Rosales,14969,28.1872,-105.55496
M08056,Mexico,Rosario,2575,27.31946,-106.29636
M08057,Mexico,San Francisco de Borja,2331,27.90221,-106.68499
M08058,Mexico,San Francisco de Conchos,2843,27.58861,-105.33467
M08059,Mexico,San Francisco del Oro,6054,26.85948,-105.84802
M08060,Mexico,Santa Barbara,11597,26.80253,-105.8208
M08061,Mexico,Satevo,4962,27.95444,-106.10692
M08062,Mexico,Saucillo,30644,28.03249,-105.28968
M08063,Mexico,Temosachi,6989,28.95356,-107.83114
M08064,Mexico,El Tule,2177,27.05447,-106.26664
M08065,Mexico,Urique,17655,27.21279,-107.91446
M08066,Mexico,Uruachi,8282,27.86748,-108.21641
M08067,Mexico,Valle de Zaragoza,5309,27.45751,-105.81135
M09002,Mexico,Azcapotzalco,441008,19.4834,-99.18365
M09003,Mexico,Coyoacan,640423,19.35063,-99.16199
M09004,Mexico,Cuajimalpa de Morelos,151222,19.37507,-99.28504
M09005,Mexico,Gustavo A. Madero,1235542,19.48284,-99.11282
M09006,Mexico,Iztacalco,411321,19.39591,-99.09809
M09007,Mexico,Iztapalapa,1773343,19.35896,-99.09338
M09008,Mexico,La Magdalena Contreras,222050,19.33396,-99.21421
M09009,Mexico,Milpa Alta,96773,19.19286,-99.02338
M09010,Mexico,Alvaro Obregon,687020,19.40063,-99.20032
M09011,Mexico,Tlahuac,302790,19.3048,-99.05448
M09012,Mexico,Tlalpan,581781,19.30896,-99.22532
M09013,Mexico,Xochimilco,369787,19.27563,-99.13921
M09014,Mexico,Benito Juarez,360478,19.4023,-99.15865
M09015,Mexico,Cuauhtemoc,516255,19.44368,-99.14476
M09016,Mexico,Miguel Hidalgo,352640,19.4073,-99.19143
M09017,Mexico,Venustiano Carranza,462806,19.4173,-99.11421
